2018-12-01 17:49:34,124 INFO Loading configuration file: /tmp/nfvbench/nfvbench_config.cfg
2018-12-01 17:49:34,158 INFO EXT chain with OpenStack mode disabled
2018-12-01 17:49:34,158 INFO -c /tmp/nfvbench/nfvbench_config.cfg --rate ndr --flow-count 1024 --duration 30 --json /tmp/nfvbench/vsc_8c2n_ndr-1.json
2018-12-01 17:49:34,160 INFO Connecting to TRex (127.0.0.1)...
2018-12-01 17:49:34,295 INFO Connected to TRex
2018-12-01 17:49:34,295 INFO    Port 0: Device 158b speed=25Gbps mac=3c:fd:fe:bd:f8:60 pci=0000:3b:00.0 driver=net_i40e
2018-12-01 17:49:34,295 INFO    Port 1: Device 158b speed=25Gbps mac=3c:fd:fe:bd:f8:61 pci=0000:3b:00.1 driver=net_i40e
2018-12-01 17:49:34,296 INFO ChainRunner initialized
2018-12-01 17:49:34,296 INFO Starting 8xEXT benchmark...
2018-12-01 17:49:34,401 INFO Polling ARP until successful...
2018-12-01 17:49:34,619 INFO    ARP: port=0 chain=0 src IP=172.16.10.100 dst IP=172.16.10.10 -> MAC=52:54:00:00:00:aa
2018-12-01 17:49:34,619 INFO    ARP: port=0 chain=1 src IP=172.16.10.101 dst IP=172.16.10.11 -> MAC=52:54:01:00:00:aa
2018-12-01 17:49:34,619 INFO    ARP: port=0 chain=2 src IP=172.16.10.102 dst IP=172.16.10.12 -> MAC=52:54:02:00:00:aa
2018-12-01 17:49:34,619 INFO    ARP: port=0 chain=3 src IP=172.16.10.103 dst IP=172.16.10.13 -> MAC=52:54:03:00:00:aa
2018-12-01 17:49:34,619 INFO    ARP: port=0 chain=4 src IP=172.16.10.104 dst IP=172.16.10.14 -> MAC=52:54:04:00:00:aa
2018-12-01 17:49:34,619 INFO    ARP: port=0 chain=5 src IP=172.16.10.105 dst IP=172.16.10.15 -> MAC=52:54:05:00:00:aa
2018-12-01 17:49:34,619 INFO    ARP: port=0 chain=6 src IP=172.16.10.106 dst IP=172.16.10.16 -> MAC=52:54:06:00:00:aa
2018-12-01 17:49:34,619 INFO    ARP: port=0 chain=7 src IP=172.16.10.107 dst IP=172.16.10.17 -> MAC=52:54:07:00:00:aa
2018-12-01 17:49:34,619 INFO ARP resolved successfully for port 0
2018-12-01 17:49:37,634 INFO    ARP: port=1 chain=0 src IP=172.16.20.100 dst IP=172.16.20.10 -> MAC=52:54:00:00:00:bb
2018-12-01 17:49:37,634 INFO    ARP: port=1 chain=1 src IP=172.16.20.101 dst IP=172.16.20.11 -> MAC=52:54:01:00:00:bb
2018-12-01 17:49:37,634 INFO    ARP: port=1 chain=2 src IP=172.16.20.102 dst IP=172.16.20.12 -> MAC=52:54:02:00:00:bb
2018-12-01 17:49:37,634 INFO    ARP: port=1 chain=3 src IP=172.16.20.103 dst IP=172.16.20.13 -> MAC=52:54:03:00:00:bb
2018-12-01 17:49:37,634 INFO    ARP: port=1 chain=4 src IP=172.16.20.104 dst IP=172.16.20.14 -> MAC=52:54:04:00:00:bb
2018-12-01 17:49:37,634 INFO    ARP: port=1 chain=5 src IP=172.16.20.105 dst IP=172.16.20.15 -> MAC=52:54:05:00:00:bb
2018-12-01 17:49:37,634 INFO    ARP: port=1 chain=6 src IP=172.16.20.106 dst IP=172.16.20.16 -> MAC=52:54:06:00:00:bb
2018-12-01 17:49:37,635 INFO Retrying ARP for: ['172.16.20.17'] (retry 1/100)
2018-12-01 17:49:39,851 INFO    ARP: port=1 chain=7 src IP=172.16.20.107 dst IP=172.16.20.17 -> MAC=52:54:07:00:00:bb
2018-12-01 17:49:39,851 INFO ARP resolved successfully for port 1
2018-12-01 17:49:39,952 INFO Port 0: dst MAC ['52:54:00:00:00:aa', '52:54:01:00:00:aa', '52:54:02:00:00:aa', '52:54:03:00:00:aa', '52:54:04:00:00:aa', '52:54:05:00:00:aa', '52:54:06:00:00:aa', '52:54:07:00:00:aa']
2018-12-01 17:49:39,952 INFO Port 1: dst MAC ['52:54:00:00:00:bb', '52:54:01:00:00:bb', '52:54:02:00:00:bb', '52:54:03:00:00:bb', '52:54:04:00:00:bb', '52:54:05:00:00:bb', '52:54:06:00:00:bb', '52:54:07:00:00:bb']
2018-12-01 17:49:39,953 INFO Starting traffic generator to ensure end-to-end connectivity
2018-12-01 17:49:39,999 INFO Created 8 traffic streams for port 0.
2018-12-01 17:49:40,004 INFO Created 8 traffic streams for port 1.
2018-12-01 17:49:40,119 INFO Captured unique src mac 0/16, capturing return packets (retry 1/100)...
2018-12-01 17:49:42,294 INFO Received packet from mac: 52:54:03:00:00:bb (chain=3, port=1)
2018-12-01 17:49:42,297 INFO Received packet from mac: 52:54:02:00:00:bb (chain=2, port=1)
2018-12-01 17:49:42,409 INFO Captured unique src mac 2/16, capturing return packets (retry 2/100)...
2018-12-01 17:49:44,584 INFO Received packet from mac: 52:54:07:00:00:bb (chain=7, port=1)
2018-12-01 17:49:44,586 INFO Received packet from mac: 52:54:01:00:00:bb (chain=1, port=1)
2018-12-01 17:49:44,699 INFO Captured unique src mac 4/16, capturing return packets (retry 3/100)...
2018-12-01 17:49:46,875 INFO Received packet from mac: 52:54:00:00:00:bb (chain=0, port=1)
2018-12-01 17:49:46,876 INFO Received packet from mac: 52:54:05:00:00:bb (chain=5, port=1)
2018-12-01 17:49:46,879 INFO Received packet from mac: 52:54:06:00:00:bb (chain=6, port=1)
2018-12-01 17:49:46,991 INFO Captured unique src mac 7/16, capturing return packets (retry 4/100)...
2018-12-01 17:49:49,168 INFO Received packet from mac: 52:54:04:00:00:bb (chain=4, port=1)
2018-12-01 17:49:49,282 INFO Captured unique src mac 8/16, capturing return packets (retry 5/100)...
2018-12-01 17:49:51,572 INFO Captured unique src mac 8/16, capturing return packets (retry 6/100)...
2018-12-01 17:49:53,868 INFO Captured unique src mac 8/16, capturing return packets (retry 7/100)...
2018-12-01 17:49:56,162 INFO Captured unique src mac 8/16, capturing return packets (retry 8/100)...
2018-12-01 17:49:58,452 INFO Captured unique src mac 8/16, capturing return packets (retry 9/100)...
2018-12-01 17:50:00,741 INFO Captured unique src mac 8/16, capturing return packets (retry 10/100)...
2018-12-01 17:50:03,032 INFO Captured unique src mac 8/16, capturing return packets (retry 11/100)...
2018-12-01 17:50:05,323 INFO Captured unique src mac 8/16, capturing return packets (retry 12/100)...
2018-12-01 17:50:07,614 INFO Captured unique src mac 8/16, capturing return packets (retry 13/100)...
2018-12-01 17:50:09,904 INFO Captured unique src mac 8/16, capturing return packets (retry 14/100)...
2018-12-01 17:50:12,199 INFO Captured unique src mac 8/16, capturing return packets (retry 15/100)...
2018-12-01 17:50:14,495 INFO Captured unique src mac 8/16, capturing return packets (retry 16/100)...
2018-12-01 17:50:16,786 INFO Captured unique src mac 8/16, capturing return packets (retry 17/100)...
2018-12-01 17:50:19,077 INFO Captured unique src mac 8/16, capturing return packets (retry 18/100)...
2018-12-01 17:50:21,367 INFO Captured unique src mac 8/16, capturing return packets (retry 19/100)...
2018-12-01 17:50:23,658 INFO Captured unique src mac 8/16, capturing return packets (retry 20/100)...
2018-12-01 17:50:25,953 INFO Captured unique src mac 8/16, capturing return packets (retry 21/100)...
2018-12-01 17:50:28,243 INFO Captured unique src mac 8/16, capturing return packets (retry 22/100)...
2018-12-01 17:50:30,534 INFO Captured unique src mac 8/16, capturing return packets (retry 23/100)...
2018-12-01 17:50:32,829 INFO Captured unique src mac 8/16, capturing return packets (retry 24/100)...
2018-12-01 17:50:35,120 INFO Captured unique src mac 8/16, capturing return packets (retry 25/100)...
2018-12-01 17:50:37,411 INFO Captured unique src mac 8/16, capturing return packets (retry 26/100)...
2018-12-01 17:50:39,701 INFO Captured unique src mac 8/16, capturing return packets (retry 27/100)...
2018-12-01 17:50:41,991 INFO Captured unique src mac 8/16, capturing return packets (retry 28/100)...
2018-12-01 17:50:44,282 INFO Captured unique src mac 8/16, capturing return packets (retry 29/100)...
2018-12-01 17:50:46,589 INFO Captured unique src mac 8/16, capturing return packets (retry 30/100)...
2018-12-01 17:50:48,879 INFO Captured unique src mac 8/16, capturing return packets (retry 31/100)...
2018-12-01 17:50:51,176 INFO Captured unique src mac 8/16, capturing return packets (retry 32/100)...
2018-12-01 17:50:53,470 INFO Captured unique src mac 8/16, capturing return packets (retry 33/100)...
2018-12-01 17:50:55,758 INFO Captured unique src mac 8/16, capturing return packets (retry 34/100)...
2018-12-01 17:50:58,050 INFO Captured unique src mac 8/16, capturing return packets (retry 35/100)...
2018-12-01 17:51:00,340 INFO Captured unique src mac 8/16, capturing return packets (retry 36/100)...
2018-12-01 17:51:02,630 INFO Captured unique src mac 8/16, capturing return packets (retry 37/100)...
2018-12-01 17:51:04,920 INFO Captured unique src mac 8/16, capturing return packets (retry 38/100)...
