2018-12-01 17:45:43,558 INFO Loading configuration file: /tmp/nfvbench/nfvbench_config.cfg
2018-12-01 17:45:43,592 INFO EXT chain with OpenStack mode disabled
2018-12-01 17:45:43,592 INFO -c /tmp/nfvbench/nfvbench_config.cfg --rate 18500000pps --flow-count 1024 --duration 30 --json /tmp/nfvbench/vsc_8c2n_18500000pps-1.json
2018-12-01 17:45:43,593 INFO Connecting to TRex (127.0.0.1)...
2018-12-01 17:45:43,729 INFO Connected to TRex
2018-12-01 17:45:43,729 INFO    Port 0: Device 158b speed=25Gbps mac=3c:fd:fe:bd:f8:60 pci=0000:3b:00.0 driver=net_i40e
2018-12-01 17:45:43,729 INFO    Port 1: Device 158b speed=25Gbps mac=3c:fd:fe:bd:f8:61 pci=0000:3b:00.1 driver=net_i40e
2018-12-01 17:45:43,730 INFO ChainRunner initialized
2018-12-01 17:45:43,731 INFO Starting 8xEXT benchmark...
2018-12-01 17:45:43,836 INFO Polling ARP until successful...
2018-12-01 17:45:44,051 INFO    ARP: port=0 chain=0 src IP=172.16.10.100 dst IP=172.16.10.10 -> MAC=52:54:00:00:00:aa
2018-12-01 17:45:44,051 INFO    ARP: port=0 chain=1 src IP=172.16.10.101 dst IP=172.16.10.11 -> MAC=52:54:01:00:00:aa
2018-12-01 17:45:44,051 INFO    ARP: port=0 chain=2 src IP=172.16.10.102 dst IP=172.16.10.12 -> MAC=52:54:02:00:00:aa
2018-12-01 17:45:44,051 INFO    ARP: port=0 chain=3 src IP=172.16.10.103 dst IP=172.16.10.13 -> MAC=52:54:03:00:00:aa
2018-12-01 17:45:44,051 INFO    ARP: port=0 chain=4 src IP=172.16.10.104 dst IP=172.16.10.14 -> MAC=52:54:04:00:00:aa
2018-12-01 17:45:44,051 INFO    ARP: port=0 chain=5 src IP=172.16.10.105 dst IP=172.16.10.15 -> MAC=52:54:05:00:00:aa
2018-12-01 17:45:44,052 INFO    ARP: port=0 chain=6 src IP=172.16.10.106 dst IP=172.16.10.16 -> MAC=52:54:06:00:00:aa
2018-12-01 17:45:44,052 INFO    ARP: port=0 chain=7 src IP=172.16.10.107 dst IP=172.16.10.17 -> MAC=52:54:07:00:00:aa
2018-12-01 17:45:44,052 INFO ARP resolved successfully for port 0
2018-12-01 17:45:44,266 INFO    ARP: port=1 chain=0 src IP=172.16.20.100 dst IP=172.16.20.10 -> MAC=52:54:00:00:00:bb
2018-12-01 17:45:44,266 INFO    ARP: port=1 chain=1 src IP=172.16.20.101 dst IP=172.16.20.11 -> MAC=52:54:01:00:00:bb
2018-12-01 17:45:44,266 INFO    ARP: port=1 chain=2 src IP=172.16.20.102 dst IP=172.16.20.12 -> MAC=52:54:02:00:00:bb
2018-12-01 17:45:44,267 INFO    ARP: port=1 chain=3 src IP=172.16.20.103 dst IP=172.16.20.13 -> MAC=52:54:03:00:00:bb
2018-12-01 17:45:44,267 INFO    ARP: port=1 chain=4 src IP=172.16.20.104 dst IP=172.16.20.14 -> MAC=52:54:04:00:00:bb
2018-12-01 17:45:44,267 INFO    ARP: port=1 chain=5 src IP=172.16.20.105 dst IP=172.16.20.15 -> MAC=52:54:05:00:00:bb
2018-12-01 17:45:44,267 INFO    ARP: port=1 chain=6 src IP=172.16.20.106 dst IP=172.16.20.16 -> MAC=52:54:06:00:00:bb
2018-12-01 17:45:44,267 INFO    ARP: port=1 chain=7 src IP=172.16.20.107 dst IP=172.16.20.17 -> MAC=52:54:07:00:00:bb
2018-12-01 17:45:44,267 INFO ARP resolved successfully for port 1
2018-12-01 17:45:44,368 INFO Port 0: dst MAC ['52:54:00:00:00:aa', '52:54:01:00:00:aa', '52:54:02:00:00:aa', '52:54:03:00:00:aa', '52:54:04:00:00:aa', '52:54:05:00:00:aa', '52:54:06:00:00:aa', '52:54:07:00:00:aa']
2018-12-01 17:45:44,369 INFO Port 1: dst MAC ['52:54:00:00:00:bb', '52:54:01:00:00:bb', '52:54:02:00:00:bb', '52:54:03:00:00:bb', '52:54:04:00:00:bb', '52:54:05:00:00:bb', '52:54:06:00:00:bb', '52:54:07:00:00:bb']
2018-12-01 17:45:44,369 INFO Starting traffic generator to ensure end-to-end connectivity
2018-12-01 17:45:44,415 INFO Created 8 traffic streams for port 0.
2018-12-01 17:45:44,420 INFO Created 8 traffic streams for port 1.
2018-12-01 17:45:44,534 INFO Captured unique src mac 0/16, capturing return packets (retry 1/100)...
2018-12-01 17:45:46,708 INFO Received packet from mac: 52:54:00:00:00:bb (chain=0, port=1)
2018-12-01 17:45:46,710 INFO Received packet from mac: 52:54:06:00:00:bb (chain=6, port=1)
2018-12-01 17:45:46,824 INFO Captured unique src mac 2/16, capturing return packets (retry 2/100)...
2018-12-01 17:45:49,000 INFO Received packet from mac: 52:54:03:00:00:bb (chain=3, port=1)
2018-12-01 17:45:49,001 INFO Received packet from mac: 52:54:05:00:00:bb (chain=5, port=1)
2018-12-01 17:45:49,004 INFO Received packet from mac: 52:54:07:00:00:bb (chain=7, port=1)
2018-12-01 17:45:49,117 INFO Captured unique src mac 5/16, capturing return packets (retry 3/100)...
2018-12-01 17:45:51,295 INFO Received packet from mac: 52:54:01:00:00:bb (chain=1, port=1)
2018-12-01 17:45:51,408 INFO Captured unique src mac 6/16, capturing return packets (retry 4/100)...
2018-12-01 17:45:53,584 INFO Received packet from mac: 52:54:02:00:00:bb (chain=2, port=1)
2018-12-01 17:45:53,587 INFO Received packet from mac: 52:54:04:00:00:bb (chain=4, port=1)
2018-12-01 17:45:53,699 INFO Captured unique src mac 8/16, capturing return packets (retry 5/100)...
2018-12-01 17:45:55,990 INFO Captured unique src mac 8/16, capturing return packets (retry 6/100)...
2018-12-01 17:45:58,284 INFO Captured unique src mac 8/16, capturing return packets (retry 7/100)...
2018-12-01 17:46:00,580 INFO Captured unique src mac 8/16, capturing return packets (retry 8/100)...
2018-12-01 17:46:02,870 INFO Captured unique src mac 8/16, capturing return packets (retry 9/100)...
2018-12-01 17:46:05,161 INFO Captured unique src mac 8/16, capturing return packets (retry 10/100)...
2018-12-01 17:46:07,450 INFO Captured unique src mac 8/16, capturing return packets (retry 11/100)...
2018-12-01 17:46:09,749 INFO Captured unique src mac 8/16, capturing return packets (retry 12/100)...
2018-12-01 17:46:12,040 INFO Captured unique src mac 8/16, capturing return packets (retry 13/100)...
2018-12-01 17:46:14,331 INFO Captured unique src mac 8/16, capturing return packets (retry 14/100)...
2018-12-01 17:46:16,621 INFO Captured unique src mac 8/16, capturing return packets (retry 15/100)...
2018-12-01 17:46:18,916 INFO Captured unique src mac 8/16, capturing return packets (retry 16/100)...
2018-12-01 17:46:21,208 INFO Captured unique src mac 8/16, capturing return packets (retry 17/100)...
2018-12-01 17:46:23,499 INFO Captured unique src mac 8/16, capturing return packets (retry 18/100)...
2018-12-01 17:46:25,790 INFO Captured unique src mac 8/16, capturing return packets (retry 19/100)...
2018-12-01 17:46:28,080 INFO Captured unique src mac 8/16, capturing return packets (retry 20/100)...
2018-12-01 17:46:30,373 INFO Captured unique src mac 8/16, capturing return packets (retry 21/100)...
2018-12-01 17:46:32,663 INFO Captured unique src mac 8/16, capturing return packets (retry 22/100)...
2018-12-01 17:46:34,953 INFO Captured unique src mac 8/16, capturing return packets (retry 23/100)...
2018-12-01 17:46:37,248 INFO Captured unique src mac 8/16, capturing return packets (retry 24/100)...
2018-12-01 17:46:39,542 INFO Captured unique src mac 8/16, capturing return packets (retry 25/100)...
2018-12-01 17:46:41,834 INFO Captured unique src mac 8/16, capturing return packets (retry 26/100)...
2018-12-01 17:46:44,124 INFO Captured unique src mac 8/16, capturing return packets (retry 27/100)...
2018-12-01 17:46:46,415 INFO Captured unique src mac 8/16, capturing return packets (retry 28/100)...
2018-12-01 17:46:48,705 INFO Captured unique src mac 8/16, capturing return packets (retry 29/100)...
2018-12-01 17:46:50,995 INFO Captured unique src mac 8/16, capturing return packets (retry 30/100)...
2018-12-01 17:46:53,286 INFO Captured unique src mac 8/16, capturing return packets (retry 31/100)...
2018-12-01 17:46:55,577 INFO Captured unique src mac 8/16, capturing return packets (retry 32/100)...
2018-12-01 17:46:57,872 INFO Captured unique src mac 8/16, capturing return packets (retry 33/100)...
2018-12-01 17:47:00,163 INFO Captured unique src mac 8/16, capturing return packets (retry 34/100)...
2018-12-01 17:47:02,455 INFO Captured unique src mac 8/16, capturing return packets (retry 35/100)...
2018-12-01 17:47:04,745 INFO Captured unique src mac 8/16, capturing return packets (retry 36/100)...
2018-12-01 17:47:07,035 INFO Captured unique src mac 8/16, capturing return packets (retry 37/100)...
